provinsi,kode_kabupaten_kota,nama_kabupaten_kota,rata_rata_lama_sekolah,satuan
JAWA BARAT,3204,KABUPATEN BANDUNG,8.41,TAHUN
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.53,TAHUN
JAWA BARAT,3216,KABUPATEN BEKASI,8.66,TAHUN
JAWA BARAT,3201,KABUPATEN BOGOR,7.75,TAHUN
JAWA BARAT,3207,KABUPATEN CIAMIS,7.45,TAHUN
JAWA BARAT,3203,KABUPATEN CIANJUR,6.54,TAHUN
JAWA BARAT,3209,KABUPATEN CIREBON,6.32,TAHUN
JAWA BARAT,3205,KABUPATEN GARUT,6.84,TAHUN
JAWA BARAT,3212,KABUPATEN INDRAMAYU,5.46,TAHUN
JAWA BARAT,3215,KABUPATEN KARAWANG,6.81,TAHUN
JAWA BARAT,3208,KABUPATEN KUNINGAN,7.2,TAHUN
JAWA BARAT,3210,KABUPATEN MAJALENGKA,6.8,TAHUN
JAWA BARAT,3218,KABUPATEN PANGANDARAN,7.06,TAHUN
JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.35,TAHUN
JAWA BARAT,3213,KABUPATEN SUBANG,6.45,TAHUN
JAWA BARAT,3202,KABUPATEN SUKABUMI,6.51,TAHUN
JAWA BARAT,3211,KABUPATEN SUMEDANG,7.66,TAHUN
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6.88,TAHUN
JAWA BARAT,3273,KOTA BANDUNG,10.52,TAHUN
JAWA BARAT,3279,KOTA BANJAR,8.06,TAHUN
JAWA BARAT,3275,KOTA BEKASI,10.71,TAHUN
JAWA BARAT,3271,KOTA BOGOR,10.2,TAHUN
JAWA BARAT,3277,KOTA CIMAHI,10.78,TAHUN
JAWA BARAT,3274,KOTA CIREBON,9.76,TAHUN
JAWA BARAT,3276,KOTA DEPOK,10.71,TAHUN
JAWA BARAT,3272,KOTA SUKABUMI,9.08,TAHUN
JAWA BARAT,3278,KOTA TASIKMALAYA,8.56,TAHUN
